idx,kind,claim_id,vid,sim_to_orig,p_entail_fwd,p_contra_fwd,p_entail_bwd,p_contra_bwd
28,delete,1,450,0.9497274379164143,0.96555007,0.014154629,,
28,contradict,2,451,0.9762594093804284,0.05781208,0.8290526,,
28,delete,2,452,0.9598080383923215,0.96309525,0.023300448,,
28,contradict,3,453,0.9779326364692218,0.0029101237,0.9944402,,
28,delete,3,454,0.9610545236668664,0.9693804,0.015668575,,
28,paraphrase,-1,455,0.9746543778801844,0.9943258,0.0013611297,0.9926880598068237,0.0014721803599968553
28,translate,-1,456,0.6323935876174682,0.9900573,0.0060325926,0.9964157342910767,0.00108534621540457
28,polarity,-1,457,0.9840728100113766,0.006671052,0.9910392,,
28,vocab,-1,458,0.9850230414746544,0.00053320406,0.99855095,,
28,cat,4,459,0.981460023174971,0.0019435054,0.99697685,,
29,contradict,0,463,0.9490142760027193,0.00021643356,0.99927336,,
29,delete,0,464,0.9311334289813487,0.975417,0.0133153815,,
29,contradict,1,465,0.9872909698996656,0.001765818,0.9968014,,
